ID,Generator,Status,Result Status,Proxy Role,Keep SR2,Has SR2,Highlight,Height,Length,Permeability,inc_temp,porosity,ReservoirDip,DynamicDateTime001,Execution Node,Dataset Path,Optimal,Comment
0,Reuse,Reused,NormalTermination,Ignore,Yes,TRUE,FALSE,50,4000,100,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_4000_50_30_7.inc""""",0.2,15,2292-09-27T08:38:24,,..\ExpDesign.dat,FALSE,
46,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,2000,505.736,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_2000_50_30_7.inc""""",0.1813888,30,2297-02-02T23:38:24,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00046.dat,FALSE,
47,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,2000,261.7504,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_2000_30_30_7.inc""""",0.2279168,15,2124-05-31T21:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00047.dat,FALSE,
48,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,3000,627.7288,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_3000_30_30_7.inc""""",0.1813888,15,2114-06-10T16:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00048.dat,FALSE,
49,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,4000,200.754,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_4000_50_30_7.inc""""",0.2372224,15,2314-11-16T15:38:24,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00049.dat,FALSE,
50,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,4000,505.736,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_4000_40_30_7.inc""""",0.153472,30,2175-05-26T00:48:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00050.dat,FALSE,
51,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,4000,200.754,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_4000_30_30_7.inc""""",0.2279168,15,2118-10-02T19:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00051.dat,FALSE,
52,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,4000,261.7504,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_4000_40_30_7.inc""""",0.2093056,30,2192-04-14T16:48:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00052.dat,FALSE,
53,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,3000,688.7252,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_3000_40_30_7.inc""""",0.246528,0,2226-01-14T06:43:12,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00053.dat,FALSE,
54,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,3000,261.7504,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_3000_40_30_7.inc""""",0.1720832,15,2183-05-27T08:48:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00054.dat,FALSE,
55,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,2000,322.7468,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_2000_40_30_7.inc""""",0.2093056,30,2204-03-20T04:45:36,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00055.dat,FALSE,
56,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,4000,383.7432,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_4000_40_30_7.inc""""",0.1813888,15,2186-11-06T04:48:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00056.dat,FALSE,
57,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,4000,322.7468,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_4000_30_30_7.inc""""",0.2,15,2115-06-26T21:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00057.dat,FALSE,
58,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,3000,444.7396,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_3000_30_30_7.inc""""",0.1906944,0,2116-09-27T04:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00058.dat,FALSE,
59,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,2000,444.7396,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_2000_50_30_7.inc""""",0.2186112,30,2322-06-23T10:36:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00059.dat,FALSE,
60,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,3000,810.718,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_3000_30_30_7.inc""""",0.2186112,0,2126-07-21T21:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00060.dat,FALSE,
61,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,4000,810.718,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_4000_40_30_7.inc""""",0.1720832,0,2191-07-23T16:48:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00061.dat,FALSE,
62,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,4000,383.7432,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_4000_50_30_7.inc""""",0.1627776,0,2276-01-29T16:40:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00062.dat,FALSE,
63,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,3000,749.7216,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_3000_40_30_7.inc""""",0.1906944,0,2199-08-24T08:45:36,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00063.dat,FALSE,
64,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,3000,566.7324,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_3000_30_30_7.inc""""",0.1720832,30,2111-06-19T13:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00064.dat,FALSE,
65,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,3000,566.7324,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_3000_50_30_7.inc""""",0.2,15,2309-10-12T18:38:24,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00065.dat,FALSE,
66,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,4000,749.7216,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_4000_50_30_7.inc""""",0.2093056,30,2313-09-07T13:38:24,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00066.dat,FALSE,
67,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,2000,627.7288,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_2000_30_30_7.inc""""",0.153472,15,2109-04-21T14:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00067.dat,FALSE,
68,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,3000,200.754,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_3000_50_30_7.inc""""",0.1906944,15,2287-02-19T14:38:24,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00068.dat,FALSE,
69,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,2000,566.7324,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_2000_50_30_7.inc""""",0.2279168,0,2331-10-13T16:36:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00069.dat,FALSE,
70,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,3000,810.718,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_3000_30_30_7.inc""""",0.2186112,30,2125-03-26T14:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00070.dat,FALSE,
71,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,2000,627.7288,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_2000_30_30_7.inc""""",0.2372224,30,2130-03-25T06:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00071.dat,FALSE,
72,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,3000,444.7396,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_3000_40_30_7.inc""""",0.2372224,0,2216-10-18T13:45:36,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00072.dat,FALSE,
73,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,2000,749.7216,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_2000_50_30_7.inc""""",0.2,30,2309-06-14T02:38:24,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00073.dat,FALSE,
74,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,2000,505.736,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_2000_50_30_7.inc""""",0.1627776,0,2284-07-03T23:40:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00074.dat,FALSE,
75,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,40,4000,688.7252,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_4000_40_30_7.inc""""",0.246528,30,2222-05-17T00:45:36,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00075.dat,FALSE,
76,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,30,2000,383.7432,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_2000_30_30_7.inc""""",0.1627776,0,2110-05-25T12:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00076.dat,FALSE,
77,Reuse,Reused,NormalTermination,Training,No,FALSE,FALSE,50,4000,688.7252,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_4000_50_30_7.inc""""",0.246528,0,2346-10-24T20:36:00,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00077.dat,FALSE,
78,Reuse,Reused,NormalTermination,Verification,No,FALSE,FALSE,30,4000,473.27439,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_0_4000_30_30_7.inc""""",0.21932588,0,2123-09-23T18:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00078.dat,FALSE,
79,Reuse,Reused,NormalTermination,Verification,No,FALSE,FALSE,50,3000,416.10587,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_30_3000_50_30_7.inc""""",0.1670046,30,2281-10-21T17:40:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00079.dat,FALSE,
80,Reuse,Reused,NormalTermination,Verification,No,FALSE,FALSE,30,4000,802.90175,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_4000_30_30_7.inc""""",0.16793236,15,2110-12-26T16:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00080.dat,FALSE,
81,Reuse,Reused,NormalTermination,Verification,No,FALSE,FALSE,30,2000,605.57081,"E:\\All important CMG files\\Renewability study\\Grid_Temp\\TempDist_15_2000_30_30_7.inc""""",0.23843405,15,2130-09-12T22:52:48,PETE3423-R36,ExpDesign.cmsd\ExpDesign_00081.dat,FALSE,
