	Job ID	User Highlight	Pattern Number	Pattern	GlobalObj	RaNum_TmaxTmin	RaNum_Tmed	Height	Length	Permeability	inc_temp	porosity	ReservoirDip
	1	False	T:01	--000	70.363	70.363	62.64	30	2000	500	"Grid_Temp\\TempDist_15_2000_30_30_7.inc"	0.2	15
	2	False	T:02	-0-00	64.492	64.492	37.363	30	3000	200	"Grid_Temp\\TempDist_15_3000_30_30_7.inc"	0.2	15
	3	False	T:03	-00-0	146.66	146.66	79.09	30	3000	500	"Grid_Temp\\TempDist_15_3000_30_30_7.inc"	0.1608	15
	4	False	T:04	-000-	0.003661	0.003661	3.661	30	3000	500	"Grid_Temp\\TempDist_0_3000_30_30_7.inc"	0.2	0
	5	False	T:05	-000+	542.31	542.31	152.04	30	3000	500	"Grid_Temp\\TempDist_30_3000_30_30_7.inc"	0.2	30
	6	False	T:06	-00+0	178.87	178.87	114.92	30	3000	500	"Grid_Temp\\TempDist_15_3000_30_30_7.inc"	0.2392	15
	7	False	T:07	-0+00	257.9	257.9	145.76	30	3000	800	"Grid_Temp\\TempDist_15_3000_30_30_7.inc"	0.2	15
	8	False	T:08	-+000	290.14	290.14	126.51	30	4000	500	"Grid_Temp\\TempDist_15_4000_30_30_7.inc"	0.2	15
	9	False	T:09	0--00	28.504	28.504	47.383	40	2000	200	"Grid_Temp\\TempDist_15_2000_40_30_7.inc"	0.2	15
	10	False	T:10	0-0-0	64.575	64.575	97.71	40	2000	500	"Grid_Temp\\TempDist_15_2000_40_30_7.inc"	0.1608	15
	11	False	T:11	0-00-	0.0085333	0.0085333	8.5333	40	2000	500	"Grid_Temp\\TempDist_0_2000_40_30_7.inc"	0.2	0
	12	False	T:12	0-00+	234.18	234.18	185.07	40	2000	500	"Grid_Temp\\TempDist_30_2000_40_30_7.inc"	0.2	30
	13	False	T:13	0-0+0	79.252	79.252	137.96	40	2000	500	"Grid_Temp\\TempDist_15_2000_40_30_7.inc"	0.2392	15
	14	False	T:14	0-+00	113.88	113.88	177.71	40	2000	800	"Grid_Temp\\TempDist_15_2000_40_30_7.inc"	0.2	15
	15	False	T:15	00--0	59.205	59.205	57.125	40	3000	200	"Grid_Temp\\TempDist_15_3000_40_30_7.inc"	0.1608	15
	16	False	T:16	00-0-	0.0034133	0.0034133	3.4133	40	3000	200	"Grid_Temp\\TempDist_0_3000_40_30_7.inc"	0.2	0
	17	False	T:17	00-0+	218.29	218.29	116.87	40	3000	200	"Grid_Temp\\TempDist_30_3000_40_30_7.inc"	0.2	30
	18	False	T:18	00-+0	72.403	72.403	82.491	40	3000	200	"Grid_Temp\\TempDist_15_3000_40_30_7.inc"	0.2392	15
	19	False	T:19	000--	0.0071291	0.0071291	7.1291	40	3000	500	"Grid_Temp\\TempDist_0_3000_40_30_7.inc"	0.1608	0
	20	False	T:20	000-+	495.04	495.04	224.61	40	3000	500	"Grid_Temp\\TempDist_30_3000_40_30_7.inc"	0.1608	30
	21	False	T:21	00000	162.9	162.9	165.52	40	3000	500	"Grid_Temp\\TempDist_15_3000_40_30_7.inc"	0.2	15
	22	False	T:22	000+-	0.01039	0.01039	10.39	40	3000	500	"Grid_Temp\\TempDist_0_3000_40_30_7.inc"	0.2392	0
	23	False	T:23	000++	606	606	322.34	40	3000	500	"Grid_Temp\\TempDist_30_3000_40_30_7.inc"	0.2392	30
	24	False	T:24	00+-0	236.71	236.71	219.38	40	3000	800	"Grid_Temp\\TempDist_15_3000_40_30_7.inc"	0.1608	15
	25	False	T:25	00+0-	0.013653	0.013653	13.653	40	3000	800	"Grid_Temp\\TempDist_0_3000_40_30_7.inc"	0.2	0
	26	False	T:26	00+0+	872.1	872.1	397.79	40	3000	800	"Grid_Temp\\TempDist_30_3000_40_30_7.inc"	0.2	30
	27	False	T:27	00++0	289.56	289.56	321.03	40	3000	800	"Grid_Temp\\TempDist_15_3000_40_30_7.inc"	0.2392	15
	28	False	T:28	0+-00	117.17	117.17	89.187	40	4000	200	"Grid_Temp\\TempDist_15_4000_40_30_7.inc"	0.2	15
	29	False	T:29	0+0-0	266.26	266.26	183.08	40	4000	500	"Grid_Temp\\TempDist_15_4000_40_30_7.inc"	0.1608	15
	30	False	T:30	0+00-	0.0085333	0.0085333	8.5333	40	4000	500	"Grid_Temp\\TempDist_0_4000_40_30_7.inc"	0.2	0
	31	False	T:31	0+00+	993.46	993.46	357.56	40	4000	500	"Grid_Temp\\TempDist_30_4000_40_30_7.inc"	0.2	30
	32	False	T:32	0+0+0	325.02	325.02	265.95	40	4000	500	"Grid_Temp\\TempDist_15_4000_40_30_7.inc"	0.2392	15
	33	False	T:33	0++00	468.55	468.55	343.5	40	4000	800	"Grid_Temp\\TempDist_15_4000_40_30_7.inc"	0.2	15
	34	False	T:34	+-000	72.133	72.133	179.84	50	2000	500	"Grid_Temp\\TempDist_15_2000_50_30_7.inc"	0.2	15
	35	False	T:35	+0-00	65.916	65.916	106.83	50	3000	200	"Grid_Temp\\TempDist_15_3000_50_30_7.inc"	0.2	15
	36	False	T:36	+00-0	149.48	149.48	222.6	50	3000	500	"Grid_Temp\\TempDist_15_3000_50_30_7.inc"	0.1608	15
	37	False	T:37	+000-	0.016573	0.016573	16.573	50	3000	500	"Grid_Temp\\TempDist_0_3000_50_30_7.inc"	0.2	0
	38	False	T:38	+000+	548.67	548.67	410.27	50	3000	500	"Grid_Temp\\TempDist_30_3000_50_30_7.inc"	0.2	30
	39	False	T:39	+00+0	183.38	183.38	327.73	50	3000	500	"Grid_Temp\\TempDist_15_3000_50_30_7.inc"	0.2392	15
	40	False	T:40	+0+00	263.51	263.51	408.4	50	3000	800	"Grid_Temp\\TempDist_15_3000_50_30_7.inc"	0.2	15
	41	False	T:41	++000	295.92	295.92	346.92	50	4000	500	"Grid_Temp\\TempDist_15_4000_50_30_7.inc"	0.2	15
	42	False	V:01	-+0+-	0.0044504	0.0044504	4.4504	30	4000	500	"Grid_Temp\\TempDist_0_4000_30_30_7.inc"	0.2392	0
	43	False	V:02	0+-+0	130.07	130.07	110.95	40	4000	200	"Grid_Temp\\TempDist_15_4000_40_30_7.inc"	0.2392	15
	44	False	V:03	+-0-+	213.01	213.01	240.55	50	2000	500	"Grid_Temp\\TempDist_30_2000_50_30_7.inc"	0.1608	30
